mod	dc	prob
0	5	0.9975
0	6	0.9975
0	7	0.9975
0	8	0.9975
0	9	0.9975
0	10	0.9975
0	11	0.9975
0	12	0.9975
0	13	0.9975
0	14	0.99
0	15	0.9775
0	16	0.96
0	17	0.9375
0	18	0.91
0	19	0.8775
0	20	0.84
0	21	0.7975
0	22	0.75
0	23	0.6975
0	24	0.64
0	25	0.5775
1	5	0.9975
1	6	0.9975
1	7	0.9975
1	8	0.9975
1	9	0.9975
1	10	0.9975
1	11	0.9975
1	12	0.9975
1	13	0.99
1	14	0.9775
1	15	0.96
1	16	0.9375
1	17	0.91
1	18	0.8775
1	19	0.84
1	20	0.7975
1	21	0.75
1	22	0.6975
1	23	0.64
1	24	0.5775
1	25	0.51
2	5	0.9975
2	6	0.9975
2	7	0.9975
2	8	0.9975
2	9	0.9975
2	10	0.9975
2	11	0.9975
2	12	0.99
2	13	0.9775
2	14	0.96
2	15	0.9375
2	16	0.91
2	17	0.8775
2	18	0.84
2	19	0.7975
2	20	0.75
2	21	0.6975
2	22	0.64
2	23	0.5775
2	24	0.51
2	25	0.4375
3	5	0.9975
3	6	0.9975
3	7	0.9975
3	8	0.9975
3	9	0.9975
3	10	0.9975
3	11	0.99
3	12	0.9775
3	13	0.96
3	14	0.9375
3	15	0.91
3	16	0.8775
3	17	0.84
3	18	0.7975
3	19	0.75
3	20	0.6975
3	21	0.64
3	22	0.5775
3	23	0.51
3	24	0.4375
3	25	0.36
4	5	0.9975
4	6	0.9975
4	7	0.9975
4	8	0.9975
4	9	0.9975
4	10	0.99
4	11	0.9775
4	12	0.96
4	13	0.9375
4	14	0.91
4	15	0.8775
4	16	0.84
4	17	0.7975
4	18	0.75
4	19	0.6975
4	20	0.64
4	21	0.5775
4	22	0.51
4	23	0.4375
4	24	0.36
4	25	0.2775
5	5	0.9975
5	6	0.9975
5	7	0.9975
5	8	0.9975
5	9	0.99
5	10	0.9775
5	11	0.96
5	12	0.9375
5	13	0.91
5	14	0.8775
5	15	0.84
5	16	0.7975
5	17	0.75
5	18	0.6975
5	19	0.64
5	20	0.5775
5	21	0.51
5	22	0.4375
5	23	0.36
5	24	0.2775
5	25	0.19
6	5	0.9975
6	6	0.9975
6	7	0.9975
6	8	0.99
6	9	0.9775
6	10	0.96
6	11	0.9375
6	12	0.91
6	13	0.8775
6	14	0.84
6	15	0.7975
6	16	0.75
6	17	0.6975
6	18	0.64
6	19	0.5775
6	20	0.51
6	21	0.4375
6	22	0.36
6	23	0.2775
6	24	0.19
6	25	0.0975
7	5	0.9975
7	6	0.9975
7	7	0.99
7	8	0.9775
7	9	0.96
7	10	0.9375
7	11	0.91
7	12	0.8775
7	13	0.84
7	14	0.7975
7	15	0.75
7	16	0.6975
7	17	0.64
7	18	0.5775
7	19	0.51
7	20	0.4375
7	21	0.36
7	22	0.2775
7	23	0.19
7	24	0.0975
7	25	0.0975
8	5	0.9975
8	6	0.99
8	7	0.9775
8	8	0.96
8	9	0.9375
8	10	0.91
8	11	0.8775
8	12	0.84
8	13	0.7975
8	14	0.75
8	15	0.6975
8	16	0.64
8	17	0.5775
8	18	0.51
8	19	0.4375
8	20	0.36
8	21	0.2775
8	22	0.19
8	23	0.0975
8	24	0.0975
8	25	0.0975
9	5	0.99
9	6	0.9775
9	7	0.96
9	8	0.9375
9	9	0.91
9	10	0.8775
9	11	0.84
9	12	0.7975
9	13	0.75
9	14	0.6975
9	15	0.64
9	16	0.5775
9	17	0.51
9	18	0.4375
9	19	0.36
9	20	0.2775
9	21	0.19
9	22	0.0975
9	23	0.0975
9	24	0.0975
9	25	0.0975
10	5	0.9775
10	6	0.96
10	7	0.9375
10	8	0.91
10	9	0.8775
10	10	0.84
10	11	0.7975
10	12	0.75
10	13	0.6975
10	14	0.64
10	15	0.5775
10	16	0.51
10	17	0.4375
10	18	0.36
10	19	0.2775
10	20	0.19
10	21	0.0975
10	22	0.0975
10	23	0.0975
10	24	0.0975
10	25	0.0975
11	5	0.96
11	6	0.9375
11	7	0.91
11	8	0.8775
11	9	0.84
11	10	0.7975
11	11	0.75
11	12	0.6975
11	13	0.64
11	14	0.5775
11	15	0.51
11	16	0.4375
11	17	0.36
11	18	0.2775
11	19	0.19
11	20	0.0975
11	21	0.0975
11	22	0.0975
11	23	0.0975
11	24	0.0975
11	25	0.0975
12	5	0.9375
12	6	0.91
12	7	0.8775
12	8	0.84
12	9	0.7975
12	10	0.75
12	11	0.6975
12	12	0.64
12	13	0.5775
12	14	0.51
12	15	0.4375
12	16	0.36
12	17	0.2775
12	18	0.19
12	19	0.0975
12	20	0.0975
12	21	0.0975
12	22	0.0975
12	23	0.0975
12	24	0.0975
12	25	0.0975
