mod	dc	prob
0	5	0.95
0	6	0.95
0	7	0.95
0	8	0.95
0	9	0.95
0	10	0.95
0	11	0.95
0	12	0.95
0	13	0.95
0	14	0.9
0	15	0.85
0	16	0.8
0	17	0.75
0	18	0.7
0	19	0.65
0	20	0.6
0	21	0.55
0	22	0.5
0	23	0.45
0	24	0.4
0	25	0.35
1	5	0.95
1	6	0.95
1	7	0.95
1	8	0.95
1	9	0.95
1	10	0.95
1	11	0.95
1	12	0.95
1	13	0.9
1	14	0.85
1	15	0.8
1	16	0.75
1	17	0.7
1	18	0.65
1	19	0.6
1	20	0.55
1	21	0.5
1	22	0.45
1	23	0.4
1	24	0.35
1	25	0.3
2	5	0.95
2	6	0.95
2	7	0.95
2	8	0.95
2	9	0.95
2	10	0.95
2	11	0.95
2	12	0.9
2	13	0.85
2	14	0.8
2	15	0.75
2	16	0.7
2	17	0.65
2	18	0.6
2	19	0.55
2	20	0.5
2	21	0.45
2	22	0.4
2	23	0.35
2	24	0.3
2	25	0.25
3	5	0.95
3	6	0.95
3	7	0.95
3	8	0.95
3	9	0.95
3	10	0.95
3	11	0.9
3	12	0.85
3	13	0.8
3	14	0.75
3	15	0.7
3	16	0.65
3	17	0.6
3	18	0.55
3	19	0.5
3	20	0.45
3	21	0.4
3	22	0.35
3	23	0.3
3	24	0.25
3	25	0.2
4	5	0.95
4	6	0.95
4	7	0.95
4	8	0.95
4	9	0.95
4	10	0.9
4	11	0.85
4	12	0.8
4	13	0.75
4	14	0.7
4	15	0.65
4	16	0.6
4	17	0.55
4	18	0.5
4	19	0.45
4	20	0.4
4	21	0.35
4	22	0.3
4	23	0.25
4	24	0.2
4	25	0.15
5	5	0.95
5	6	0.95
5	7	0.95
5	8	0.95
5	9	0.9
5	10	0.85
5	11	0.8
5	12	0.75
5	13	0.7
5	14	0.65
5	15	0.6
5	16	0.55
5	17	0.5
5	18	0.45
5	19	0.4
5	20	0.35
5	21	0.3
5	22	0.25
5	23	0.2
5	24	0.15
5	25	0.1
6	5	0.95
6	6	0.95
6	7	0.95
6	8	0.9
6	9	0.85
6	10	0.8
6	11	0.75
6	12	0.7
6	13	0.65
6	14	0.6
6	15	0.55
6	16	0.5
6	17	0.45
6	18	0.4
6	19	0.35
6	20	0.3
6	21	0.25
6	22	0.2
6	23	0.15
6	24	0.1
6	25	0.05
7	5	0.95
7	6	0.95
7	7	0.9
7	8	0.85
7	9	0.8
7	10	0.75
7	11	0.7
7	12	0.65
7	13	0.6
7	14	0.55
7	15	0.5
7	16	0.45
7	17	0.4
7	18	0.35
7	19	0.3
7	20	0.25
7	21	0.2
7	22	0.15
7	23	0.1
7	24	0.05
7	25	0.05
8	5	0.95
8	6	0.9
8	7	0.85
8	8	0.8
8	9	0.75
8	10	0.7
8	11	0.65
8	12	0.6
8	13	0.55
8	14	0.5
8	15	0.45
8	16	0.4
8	17	0.35
8	18	0.3
8	19	0.25
8	20	0.2
8	21	0.15
8	22	0.1
8	23	0.05
8	24	0.05
8	25	0.05
9	5	0.9
9	6	0.85
9	7	0.8
9	8	0.75
9	9	0.7
9	10	0.65
9	11	0.6
9	12	0.55
9	13	0.5
9	14	0.45
9	15	0.4
9	16	0.35
9	17	0.3
9	18	0.25
9	19	0.2
9	20	0.15
9	21	0.1
9	22	0.05
9	23	0.05
9	24	0.05
9	25	0.05
10	5	0.85
10	6	0.8
10	7	0.75
10	8	0.7
10	9	0.65
10	10	0.6
10	11	0.55
10	12	0.5
10	13	0.45
10	14	0.4
10	15	0.35
10	16	0.3
10	17	0.25
10	18	0.2
10	19	0.15
10	20	0.1
10	21	0.05
10	22	0.05
10	23	0.05
10	24	0.05
10	25	0.05
11	5	0.8
11	6	0.75
11	7	0.7
11	8	0.65
11	9	0.6
11	10	0.55
11	11	0.5
11	12	0.45
11	13	0.4
11	14	0.35
11	15	0.3
11	16	0.25
11	17	0.2
11	18	0.15
11	19	0.1
11	20	0.05
11	21	0.05
11	22	0.05
11	23	0.05
11	24	0.05
11	25	0.05
12	5	0.75
12	6	0.7
12	7	0.65
12	8	0.6
12	9	0.55
12	10	0.5
12	11	0.45
12	12	0.4
12	13	0.35
12	14	0.3
12	15	0.25
12	16	0.2
12	17	0.15
12	18	0.1
12	19	0.05
12	20	0.05
12	21	0.05
12	22	0.05
12	23	0.05
12	24	0.05
12	25	0.05
